_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
225,2023,3,A3538,LEKEITIO-Barainka,16,,,,,,,,,,,,,,,2,0,0,0,0,0,0,18
226,2023,3,A3915,BILBAO - DURANGO - ONDARROA (Autopista),27819,975,198,8232,38,1,,,,1404,192,6,740,69,70,1890,2,387,13,0,0,147,42183
227,2023,3,A3916,BILBAO - ERMUA - ONDARROA (Autopista),19363,650,62,3176,25,4,,,,1149,97,15,667,45,29,1176,0,265,10,0,0,119,26852
228,2023,3,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,248,,,22,,,,,,1,,,38,,,23,0,0,0,0,0,0,332
229,2023,3,A2312,Zabalburu - UPV/EHU  (Juan de Garay),14193,988,102,39,1,,,,,2416,336,8,622,145,3,181,0,7,0,0,0,52,19093
230,2023,3,A2314,BILBAO - Erandiogoikoa - UPV/EHU,29801,2239,112,403,35,,,,,3711,437,43,1507,144,37,370,0,9,0,0,0,115,38963
231,2023,3,A2318,Termibus - UPV/EHU (Autopista),44123,3221,331,431,28,1,,,,7787,1005,56,3359,484,8,724,0,59,4,0,0,367,61988
232,2023,3,A2321,Santutxu - UPV/EHU (Autopista),11181,1084,94,46,8,,,,,3515,405,14,1170,126,4,100,0,21,0,0,0,114,17882
233,2023,3,A2324,BILBAO - UPV/EHU (Enekuri),9766,817,34,27,2,1,,,,1324,139,9,372,43,30,93,0,1,1,0,0,16,12675
234,2023,3,A3115,BILBAO - SANTURTZI,27824,592,168,9538,84,2,,,1,902,139,5,1026,154,5,1661,5,1208,84,0,0,1441,44839
235,2023,3,A3122,BILBAO - SESTAO - Errepelega/Repelega,10087,196,61,3399,29,,,,,300,24,9,340,29,4,411,1,520,66,0,0,504,15980
