_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
198,2024,6,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),12959,329,109,6700,13,2,0,0,0,377,36,4,325,19,2,749,17,1,225,1,4,625,6,0,393,0,404,15,0,0,179,23494
199,2024,6,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,38449,1393,448,9822,23,3,0,0,0,1527,251,15,1395,113,67,1055,52,0,320,18,1,1000,6,17,1851,0,572,16,0,0,514,58928
200,2024,6,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,36677,1188,377,9620,27,1,0,0,0,1146,101,6,1152,83,38,1069,60,0,360,17,0,1300,11,11,2040,13,681,19,0,0,412,56409
201,2024,6,A3913,Arrazola - DURANGO,8078,428,124,2673,0,0,0,0,0,534,92,6,318,14,36,160,0,0,34,1,0,91,0,1,427,0,168,1,0,0,55,13241
202,2024,6,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,28198,963,164,5016,24,3,0,0,0,913,20,0,1794,153,35,902,40,0,243,3,2,1438,10,6,1278,1,612,2,0,0,402,42222
203,2024,6,A3923,BILBAO - DURANGO - ELORRIO (Autopista),38910,1622,501,6524,48,3,0,2,0,1236,221,29,965,121,63,1258,39,1,247,11,0,629,66,8,1894,4,446,11,0,0,124,54983
204,2024,6,A3924,ERMUA - DURANGO - UPV/EHU,693,62,8,25,0,0,0,0,0,35,10,0,8,0,0,5,0,0,4,0,0,2,0,0,9,0,0,0,0,0,20,881
205,2024,6,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,15851,527,79,4090,9,0,0,0,0,430,15,8,804,74,14,558,6,0,195,2,4,769,6,1,662,1,416,1,0,0,296,24818
206,2024,6,A3926,BILBAO - ERMUA - EIBAR (Autopista),25616,515,115,2646,3,9,0,0,0,495,33,44,195,4,1,1129,4,0,140,0,0,547,11,0,1802,21,384,6,0,0,73,33793
207,2024,6,A3927,BILBAO - LEMOA - ZEANURI (Autopista),13095,572,196,1851,21,0,0,0,0,593,3,0,1005,45,12,444,26,0,219,1,0,662,0,0,585,1,452,0,0,0,100,19883
