_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
163,2024,2,A3334,SANTURTZI - BALMASEDA,4202,232,34,1047,9,0,0,0,0,226,64,0,174,22,0,4,0,0,6,0,0,13,0,0,377,0,133,14,0,0,124,6681
164,2024,2,A3341,BILBAO - Sodupe - Arespalditza RESPALDIZA,3337,90,66,1159,0,0,0,0,0,82,10,9,227,41,0,131,1,0,17,0,0,124,0,0,142,1,63,0,0,0,80,5580
165,2024,2,A3342,BILBAO - Sodupe - ARTZINIEGA,17288,761,130,5382,7,1,0,0,0,739,135,96,1471,151,110,314,0,0,150,0,0,604,0,0,737,2,192,3,0,0,165,28438
166,2024,2,A3343,BILBAO - Sodupe - GORDEXOLA,3803,128,17,1006,0,0,0,0,0,151,15,9,306,26,4,66,0,0,21,0,0,157,0,0,203,0,47,0,0,0,37,5996
167,2024,2,A2151,Areeta/Las Arenas-LARRABETZU,9961,221,40,1860,5,,1,,,1062,59,17,974,89,9,526,18,,113,2,,421,16,3,407,0,78,1,,,152,16035
168,2024,2,A2153,BILBAO-Corredor Txorierri-ko Korridorea-LARRABETZU,11523,517,44,1574,69,1,,,2,907,101,19,3604,90,73,479,3,2,231,,2,622,48,,1189,5,77,2,,,88,21272
169,2024,2,A2161,Bizkaia Zubia/Puente Bizkaia-UPV/EHU,18686,1216,129,4163,1,,,,,2614,622,11,1792,264,29,435,14,,191,,,506,29,,656,1,339,12,,,164,31874
170,2024,2,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),6557,596,29,347,13,,,,,1758,301,,313,72,2,65,17,,122,35,,76,7,4,180,,22,,,,44,10560
171,2024,2,A2163,ERANDIO-UPV/EHU,724,35,4,12,,,,,,226,29,4,133,9,,18,,,3,1,,12,,,14,,5,,,,45,1274
172,2024,2,A2164,Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),1228,80,2,44,,,,,,474,92,,83,8,,4,2,,7,,,26,22,,24,,4,,,,11,2111
173,2024,2,A2166,URIBE KOSTA - UPV/EHU,2828,207,43,123,1,,,,,1255,136,19,490,92,,61,6,,37,3,,6,25,,52,,9,,,,31,5424
174,2024,2,A2322,BILBAO-ERANDIO-Astrabudua-UPV/EHU,8160,293,2,1675,5,,,,,1616,88,21,1314,112,6,332,6,,166,1,,316,3,11,211,,105,2,,,454,14899
175,2024,2,A3223,BILBAO-LARRABETZU(Artxandako tunelak/Tuneles Artxanda),12243,479,66,2057,4,40,,,,967,149,8,852,174,22,356,12,,67,,,249,4,,353,,207,5,,,201,18515
176,2024,2,A3224,BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,7771,206,11,1410,8,,,,,389,26,3,313,25,,394,6,,85,0,,320,6,,178,1,78,1,,,196,11427
177,2024,2,A3225,BILBAO - LAUKIZ - MUNGIA,3301,170,19,389,3,,,,,119,45,15,737,14,,102,,,7,,,179,,4,114,,22,,,,63,5303
178,2024,2,A3247,BILBAO-Aireportua/Aeropuerto,39412,670,64,4145,14,,2,10,21,386,62,9,320,17,37,749,32,3,164,,,477,7,,35643,17,711,24,,,171,83167
179,2024,2,A3250,BILBAO-Teknologia Parkea/Parque Tecnologico (Artxandako tunelak/Tuneles Artxanda),17081,406,8,837,26,,,,,845,34,,1022,98,2,842,32,,204,,,799,22,37,261,,2,,,,78,22636
