_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
158,2025,5,A0651,BILBAO - BALMASEDA,52413,1604,308,12469,177,1,0,4,4,2344,319,0,5088,630,186,1784,93,27,822,4,0,4199,75,27,19,0,0,0,0,0,1647,8,751,19,0,0,0,818,85840
159,2025,5,A0652,LANESTOSA - BALMASEDA,3705,42,0,1177,0,0,0,4,0,8,3,0,31,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,0,0,573,0,57,1,0,0,0,29,5661
160,2025,5,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,622,1,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,12,1,0,0,0,0,1425
161,2025,5,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,5749,130,34,2288,14,0,0,0,0,325,32,0,396,66,3,183,1,0,81,0,0,155,3,0,3,0,0,0,0,0,197,0,90,8,0,0,0,66,9824
162,2025,5,A3323,PORTUGALETE - GALDAMES,3663,77,4,1305,2,0,0,0,0,191,17,0,508,29,0,52,0,0,4,1,0,74,5,0,6,0,0,0,0,0,159,0,60,5,0,0,0,110,6272
163,2025,5,A3334,SANTURTZI - BALMASEDA,5294,175,15,1373,6,0,0,0,0,154,6,0,701,41,0,89,9,0,13,3,0,155,2,0,0,0,0,0,0,0,242,0,85,21,0,0,0,140,8524
164,2025,5,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,3927,112,45,1006,1,1,0,0,0,93,8,0,270,7,5,145,0,1,73,0,0,356,8,1,10,0,0,3,0,0,136,0,117,0,0,0,0,58,6383
165,2025,5,A3342,BILBAO - Sodupe - ARTZINIEGA,20464,745,121,5734,11,6,0,0,0,744,82,18,1517,105,18,634,38,0,182,17,0,2383,118,45,31,0,0,0,0,0,626,3,420,4,0,0,0,264,34330
166,2025,5,A3343,BILBAO - Sodupe - GORDEXOLA,4264,183,20,1014,1,0,0,0,0,163,22,4,361,30,4,78,0,0,48,0,0,525,13,0,5,0,0,0,0,0,110,0,72,0,0,0,0,66,6983
167,2025,5,A2151,Areeta/Las Arenas-LARRABETZU,11767,311,40,2485,9,0,0,0,0,1110,91,4,1290,157,0,749,8,2,263,1,2,1564,39,1,5,0,0,0,0,0,371,1,104,9,0,0,0,184,20567
168,2025,5,A2153,BILBAO-Corredor Txorierri-ko Korridorea-LARRABETZU,16001,772,47,2250,37,4,1,0,0,758,59,4,4908,39,86,769,38,0,586,0,0,2618,57,0,52,3,1,0,0,0,1421,0,193,1,0,0,0,149,30854
169,2025,5,A2161,Bizkaia Zubia/Puente Bizkaia-UPV/EHU,17225,901,148,4474,4,0,0,0,0,2617,272,9,1767,108,17,732,98,49,462,13,13,1736,40,4,10,2,0,0,0,0,370,0,450,16,0,0,0,259,31796
170,2025,5,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),5619,452,14,380,2,0,0,0,0,1367,274,1,571,61,1,340,23,2,149,11,3,332,19,0,5,0,0,0,0,0,138,0,50,0,0,0,0,38,9852
171,2025,5,A2163,ERANDIO-UPV/EHU,532,26,0,30,0,0,0,0,0,168,13,0,79,31,0,28,2,2,31,2,1,35,0,0,1,0,0,0,0,0,5,0,9,0,0,0,0,4,999
172,2025,5,A2164,Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),831,130,1,40,0,0,0,0,0,201,47,0,130,8,0,56,2,1,18,7,1,55,9,0,1,0,0,0,0,0,12,0,2,0,0,0,0,10,1562
173,2025,5,A2166,URIBE KOSTA - UPV/EHU,2353,131,34,161,6,0,0,0,0,588,66,8,517,36,1,44,7,0,18,34,0,131,1,1,0,0,0,0,0,0,27,0,9,0,0,0,0,15,4188
174,2025,5,A2322,BILBAO-ERANDIO-Astrabudua-UPV/EHU,9081,288,10,2165,22,0,1,4,4,1365,81,2,1387,87,26,544,84,0,404,54,26,1591,9,35,15,2,0,0,0,0,336,0,135,2,0,0,0,333,18093
175,2025,5,A3223,BILBAO-LARRABETZU(Artxandako tunelak/Tuneles Artxanda),13619,535,22,2119,1,35,0,1,0,1078,43,1,1103,178,0,1031,9,0,158,4,0,1199,38,1,11,0,0,0,0,0,601,0,211,3,0,0,0,220,22221
176,2025,5,A3224,BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,8212,134,2,1622,12,0,0,0,0,575,21,0,639,32,0,552,22,0,233,0,0,995,32,0,2,0,0,1,0,0,174,0,53,1,0,0,0,111,13425
177,2025,5,A3225,BILBAO - LAUKIZ - MUNGIA,3731,167,26,536,5,0,0,0,0,127,18,0,984,2,0,322,5,0,52,5,0,664,1,5,4,0,1,0,0,0,157,0,34,1,0,0,0,47,6894
178,2025,5,A3247,BILBAO-Aireportua/Aeropuerto,58067,768,65,7187,60,1,23,30,50,410,33,3,689,66,43,1522,31,2,514,4,4,1885,53,36,1757,30,4,78,0,0,61780,17,1156,34,0,0,0,277,136679
179,2025,5,A3250,BILBAO-Teknologia Parkea/Parque Tecnologico (Artxandako tunelak/Tuneles Artxanda),15164,393,6,677,3,0,0,0,0,890,49,0,1645,98,36,1002,58,0,377,0,0,1818,27,49,5,0,0,0,0,0,314,0,0,0,0,0,0,113,22724
180,2025,5,A3516,BILBAO - MUNGIA (Por autopista/tik),21258,708,87,3345,26,7,0,0,0,910,128,11,1774,122,94,905,80,0,171,11,0,1432,65,25,6,0,0,0,0,0,519,1,202,14,0,0,0,271,32172
181,2025,5,A3517,BILBAO - DERIO - MUNGIA,35148,1152,116,6326,94,2,0,0,0,2030,155,1,3845,319,34,1693,95,0,765,1,1,5372,108,6,14,0,0,2,0,0,1720,0,364,13,0,0,0,531,59907
