_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,B 50/B 50,B50 F20/B50 F20,B50 F50/B50 F50,B70/B70,B70 F20/B70 F20,B70 F50/B70 F50,BORO/BORO,BORO F20/BORO F20,BORO F50/BORO F50,BAT/BAT,BAT F20/BAT F20,BAT F50/BAT F50,BAT BEREZI/BAT BEREZI,BAT BEREZI F20/BAT BEREZI F20,BAT BEREZI F50/BAT BEREZI F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,ITSU-MUPEN DOAKO GIDARILAGUN/ACOMPANANTE GRATIS INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
54,2024,7,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,3158,32,3,1508,3,0,0,0,0,52,0,0,116,0,1,53,0,0,10,0,0,217,12,0,0,0,0,0,0,0,219,0,85,5,0,0,0,72,5546
55,2024,7,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,16562,363,41,5639,8,7,0,2,0,716,24,0,948,28,7,620,6,0,311,8,0,771,83,0,1,0,0,0,0,0,906,1,614,18,0,0,0,592,28276
56,2024,7,A3333,Gallarta - SANTURTZI,31002,653,112,12393,10,7,0,0,0,1019,77,4,1329,90,4,653,20,1,472,4,0,1414,78,0,4,0,0,0,0,0,2645,1,893,52,0,0,0,909,53846
57,2024,7,A3335,MUSKIZ - ZIERBENA - SESTAO,23464,405,84,9176,12,1,0,0,0,333,14,0,702,39,1,270,6,0,158,0,0,760,12,2,7,0,0,0,0,0,1866,1,1311,37,0,0,0,742,39403
58,2024,7,A3336,BILBAO - MUSKIZ,51089,1182,200,14028,75,4,1,0,0,1373,120,1,2581,145,7,1198,8,0,522,34,4,2332,73,5,38,6,1,0,0,0,3932,9,2364,121,0,0,0,1722,83175
59,2024,7,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,39522,985,78,12302,39,0,0,0,4,1376,152,1,1940,110,1,1496,75,0,560,4,1,2032,48,4,4,0,0,0,0,0,2381,7,1564,84,0,0,0,818,65588
60,2024,7,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,13975,355,32,3946,2,0,0,0,0,52,4,0,123,2,1,47,0,0,21,0,0,134,3,3,12,0,0,0,0,0,467,1,994,15,0,0,0,423,20612
61,2024,7,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),11100,278,2,2924,1,0,0,0,0,389,9,0,585,16,0,392,21,0,43,0,0,228,111,0,0,0,0,0,0,0,564,2,257,21,0,0,0,600,17543
62,2024,7,A3521,BILBAO - Hospital Santa Marina Ospitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2024,7,A0651,BILBAO - BALMASEDA,41078,1440,273,10774,140,0,0,0,0,676,98,0,1668,233,4,1017,42,0,463,3,0,1919,0,0,17,0,0,0,0,0,2056,13,894,44,0,0,0,706,63558
64,2024,7,A0652,LANESTOSA - BALMASEDA,2691,13,1,1014,0,0,0,0,0,43,0,0,20,0,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,764,2,138,1,0,0,0,10,4732
65,2024,7,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,339,4,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,11,1,0,0,0,0,1176
66,2024,7,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,3868,97,30,1790,8,0,0,0,0,50,1,0,94,12,0,91,0,0,5,0,0,56,1,0,1,0,0,0,0,0,219,0,130,8,0,0,0,53,6514
67,2024,7,A3323,PORTUGALETE - GALDAMES,2977,55,3,1090,0,0,0,0,0,63,2,0,305,0,0,24,0,0,4,0,0,47,0,0,0,0,0,0,0,0,193,0,61,1,0,0,0,35,4860
68,2024,7,A3334,SANTURTZI - BALMASEDA,4743,137,9,1061,1,0,0,0,0,40,41,0,283,18,1,38,0,0,14,0,0,35,0,0,0,0,0,0,0,0,310,0,70,0,0,0,0,78,6879
69,2024,7,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,3183,50,39,930,2,0,0,0,0,47,3,0,111,1,1,84,3,0,25,0,0,149,10,0,1,0,0,0,0,0,158,0,86,3,0,0,0,77,4963
70,2024,7,A3342,BILBAO - Sodupe - ARTZINIEGA,15605,589,91,4964,4,3,0,0,0,369,14,0,621,34,0,341,9,0,142,0,0,967,42,0,12,0,0,4,0,0,789,4,390,9,0,0,0,154,25157
71,2024,7,A3343,BILBAO - Sodupe - GORDEXOLA,2872,55,3,954,1,0,0,0,0,44,3,0,151,2,0,35,1,0,10,0,0,182,3,0,0,0,0,0,0,0,109,1,75,0,0,0,0,30,4531
72,2024,7,A2151,Areeta/Las Arenas-LARRABETZU,9939,277,26,2355,13,0,0,0,0,340,46,0,512,53,8,373,10,0,266,0,0,817,26,6,0,0,0,0,0,0,592,0,208,5,0,0,0,78,15950
73,2024,7,A2153,BILBAO-Corredor Txorierri-ko Korridorea-LARRABETZU,10307,151,12,1504,16,1,0,0,0,355,11,0,3226,55,3,400,5,0,376,0,0,949,31,5,26,0,0,0,0,0,1410,2,164,3,0,0,0,89,19101
74,2024,7,A2161,Bizkaia Zubia/Puente Bizkaia-UPV/EHU,8610,207,15,3118,2,2,0,0,0,283,36,4,551,48,4,299,10,0,176,0,0,772,6,2,0,0,0,0,0,0,341,0,387,9,0,0,0,107,14989
75,2024,7,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),554,34,1,56,0,0,0,0,0,30,1,0,35,0,0,9,1,0,8,0,0,32,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,2,781
76,2024,7,A2163,ERANDIO-UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2024,7,A2164,Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2024,7,A2166,URIBE KOSTA - UPV/EHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2024,7,A2322,BILBAO-ERANDIO-Astrabudua-UPV/EHU,7097,100,14,2050,12,0,0,0,0,277,3,3,531,48,1,273,2,0,218,26,1,861,7,17,0,0,0,0,0,0,281,0,198,2,0,0,0,278,12300
