_id,EKITALDIA/EJERCICIO,HILABETE/MES,ZENBAKIA/CODIGO,LERROA/LINEA,CREDITRANS/CREDITRANS,CREDITRANS F20/CREDITRANS F20,CREDITRANS F50/CREDITRANS F50,GIZATRANS/GIZATRANS,GIZATRANS 20/GIZATRANS 20,GIZATRANS 50/GIZATRANS 50,BBCARD 24/BBCARD 24,BBCARD 48/BBCARD 48,BBCARD 72/BBCARD 72,GAZTE 70/GAZTE 70,GAZTE 70 F20/GAZTE 70 F20,GAZTE 70 F50/GAZTE 70 F50,GORO/GORO,GORO F20/GORO F20,GORO F50/GORO F50,OHIKOA/OCASIONAL,FAMILIA UGARIA/FAMILIA NUMEROSA,6 URTETIK BEHERAKOAK/MENORES DE 6 ANOS,ITSU-MUP-EN GIDARI-LAGUN/ACOMPANANTE INVIDENTE-PMRS,METROA/METRO,T.M MATXURA/PUP AVERIADO,ENPRESA/EMPRESA,GUZTIRA/TOTAL
246,2023,6,A3333,Gallarta - SANTURTZI,33026,807,147,11997,10,9,,,,1503,178,0,1600,181,3,2608,7,1020,76,0,0,993,54165
247,2023,6,A3335,MUSKIZ - ZIERBENA - SESTAO,15121,336,56,6663,10,1,,2,,437,19,4,600,23,0,1203,1,561,15,0,0,596,25648
248,2023,6,A3336,BILBAO - MUSKIZ,48977,1578,187,14015,78,4,,2,2,1826,220,6,1938,185,13,3797,3,1759,78,0,0,2027,76695
249,2023,6,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,40449,929,143,11795,13,15,,,,1495,191,3,1778,228,10,2213,13,1113,38,0,0,1061,61487
250,2023,6,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,3251,56,5,953,,,,2,,13,1,1,16,5,0,165,0,147,3,0,0,131,4749
251,2023,6,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),11390,378,52,2719,12,,,,,305,53,,310,107,100,555,5,238,4,0,0,662,16890
252,2023,6,A3521,BILBAO - Hospital Santa Marina Ospitalea,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
253,2023,6,A0651,BILBAO - BALMASEDA,46114,1437,387,10827,217,1,0,1,1,1077,115,23,3098,414,22,2138,24,676,11,0,0,741,67324
254,2023,6,A0652,LANESTOSA - BALMASEDA,2551,12,1,1113,0,0,0,0,0,38,0,0,13,0,0,883,0,78,1,0,0,22,4712
255,2023,6,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,343,0,0,363,0,0,0,0,0,0,0,0,0,0,0,540,0,9,2,0,0,1,1258
256,2023,6,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,4431,58,18,1863,6,0,0,0,0,50,2,0,160,8,1,250,1,153,3,0,0,69,7073
259,2023,6,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,3354,92,35,1223,0,0,0,0,0,41,0,3,135,4,1,197,0,58,0,0,0,91,5234
260,2023,6,A3342,BILBAO - Sodupe - ARTZINIEGA,16686,556,91,5283,6,0,0,0,0,446,50,26,1061,102,51,747,6,210,5,0,0,201,25527
261,2023,6,A3343,BILBAO - Sodupe - GORDEXOLA,3728,116,5,984,1,0,0,0,0,169,9,5,260,25,5,148,1,51,0,0,0,40,5547
262,2023,6,A2151,Areeta/Las Arenas-LARRABETZU,10186,348,62,2078,5,,,,,553,29,22,843,70,2,442,2,102,2,,,134,14880
263,2023,6,A2153,BILBAO-LOIU-Lauroeta-DERIO,13291,632,94,1818,62,7,,,,376,14,34,1922,52,42,1274,13,166,2,,,109,19908
264,2023,6,A2161,Bizkaia Zubia/Puente Bizkaia-UPV/EHU,14292,582,120,3911,7,,,,,701,185,59,925,125,,481,,409,10,,,160,21967
265,2023,6,A2162,Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),3685,332,8,417,,,,,,292,48,,124,43,,90,,46,1,,,21,5107
266,2023,6,A2163,ERANDIO-UPV/EHU,43,4,1,1,,,,,,1,,,5,,,1,,4,,,,0,60
267,2023,6,A2164,Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),57,4,,4,,,,,,7,4,,6,1,,0,,3,,,,0,86
268,2023,6,A2166,URIBE KOSTA - UPV/EHU,133,5,2,9,,,,,,12,5,,17,4,,4,,,,,,0,191
269,2023,6,A2322,BILBAO-ERANDIO-Astrabudua-UPV/EHU,7232,147,30,1783,6,,,,,348,26,1,539,95,6,239,,116,5,,,319,10892
270,2023,6,A3223,BILBAO-LARRABETZU(Artxandako tunelak/Tuneles Artxanda),11155,533,44,1848,,2,,,,611,27,6,423,163,,481,,121,2,,,174,15590
271,2023,6,A3224,BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,7726,206,7,1304,2,5,2,,,325,32,5,271,8,1,302,,80,1,,,122,10399
272,2023,6,A3225,BILBAO-LAUKIZ,3775,95,7,599,2,,,,,47,1,,575,16,,159,,45,6,,,96,5423
