_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
984,2022,2022-10-25 08:00:05,A3422,Areeta/Las Arenas - BERANGO,Bakarra,Festivo,47,28,1316,14,658,14,658
985,2022,2022-10-25 08:00:05,A3422,Areeta/Las Arenas - BERANGO,Bakarra,Laborable,187,30,5610,15,2805,15,2805
986,2022,2022-10-25 08:00:05,A3422,Areeta/Las Arenas - BERANGO,Bakarra,Sabado,38,28,1064,14,532,14,532
987,2022,2022-10-25 08:00:05,A3422,Areeta/Las Arenas - BERANGO,Gabonak (25 -1),Festivo,1,18,18,9,9,9,9
988,2022,2022-10-25 08:00:05,A3451,Areeta/Las Arenas  - Armintza,Negua,Festivo,35,31,1085,16,560,15,525
989,2022,2022-10-25 08:00:05,A3451,Areeta/Las Arenas  - Armintza,Negua,Laborable,146,33,4818,17,2482,16,2336
990,2022,2022-10-25 08:00:05,A3451,Areeta/Las Arenas  - Armintza,Negua,Sabado,29,31,899,16,464,15,435
991,2022,2022-10-25 08:00:05,A3451,Areeta/Las Arenas  - Armintza,Negua Instituturik gabe,Festivo,12,31,372,16,192,15,180
992,2022,2022-10-25 08:00:05,A3451,Areeta/Las Arenas  - Armintza,Negua Instituturik gabe,Laborable,41,33,1353,17,697,16,656
993,2022,2022-10-25 08:00:05,A3451,Areeta/Las Arenas  - Armintza,Negua Instituturik gabe,Sabado,9,31,279,16,144,15,135
994,2022,2022-10-25 08:00:05,A3451,Areeta/Las Arenas  - Armintza,Gabonak (25 -1),Festivo,1,18,18,9,9,9,9
995,2022,2022-10-25 08:00:05,A3471,GETXO - Gurutzeta / Cruces (Faduratik / Por Fadura),Bakarra,Festivo,47,32,1504,16,752,16,752
996,2022,2022-10-25 08:00:05,A3471,GETXO - Gurutzeta / Cruces (Faduratik / Por Fadura),Bakarra,Laborable,187,32,5984,16,2992,16,2992
997,2022,2022-10-25 08:00:05,A3471,GETXO - Gurutzeta / Cruces (Faduratik / Por Fadura),Bakarra,Sabado,38,32,1216,16,608,16,608
998,2022,2022-10-25 08:00:05,A3471,GETXO - Gurutzeta / Cruces (Faduratik / Por Fadura),Gabonak (25 -1),Festivo,1,20,20,10,10,10,10
999,2022,2022-10-25 08:00:05,A3472,GETXO - Gurutzeta / Cruces (Areetatik/desde Las Arenas),Bakarra,Festivo,47,30,1410,15,705,15,705
1000,2022,2022-10-25 08:00:05,A3472,GETXO - Gurutzeta / Cruces (Areetatik/desde Las Arenas),Bakarra,Laborable,187,30,5610,15,2805,15,2805
1001,2022,2022-10-25 08:00:05,A3472,GETXO - Gurutzeta / Cruces (Areetatik/desde Las Arenas),Bakarra,Sabado,38,30,1140,15,570,15,570
1002,2022,2022-10-25 08:00:05,A3472,GETXO - Gurutzeta / Cruces (Areetatik/desde Las Arenas),Gabonak (25 -1),Festivo,1,18,18,9,9,9,9
1003,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Negua,Festivo,33,94,3102,47,1551,47,1551
1004,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Negua,Laborable,143,100,14300,50,7150,50,7150
1005,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Negua,Sabado,28,94,2632,47,1316,47,1316
1006,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Uda - (M1),Festivo,5,94,470,47,235,47,235
1007,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Uda - (M1),Laborable,22,96,2112,48,1056,48,1056
1008,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Uda - (M1),Sabado,4,94,376,47,188,47,188
1009,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Gabonak (25 -1),Festivo,1,55,55,28,28,27,27
1010,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Uda Uztaila - (M1),Festivo,9,94,846,47,423,47,423
1011,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Uda Uztaila - (M1),Laborable,22,96,2112,48,1056,48,1056
1012,2022,2022-10-25 08:00:05,A3499,PLENTZIA - GORLIZ,Uda Uztaila - (M1),Sabado,6,94,564,47,282,47,282
1013,2022,2022-10-25 08:00:05,A3512,BILBAO - LEKEITIO (Autopista),Bakarra,Festivo,47,29,1363,15,705,14,658
1014,2022,2022-10-25 08:00:05,A3512,BILBAO - LEKEITIO (Autopista),Bakarra,Laborable,187,34,6358,17,3179,17,3179
1015,2022,2022-10-25 08:00:05,A3512,BILBAO - LEKEITIO (Autopista),Bakarra,Sabado,38,32,1216,16,608,16,608
1016,2022,2022-10-25 08:00:05,A3512,BILBAO - LEKEITIO (Autopista),Gabonak (25 -1),Festivo,1,18,18,8,8,10,10
1017,2022,2022-10-25 08:00:05,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,Bakarra,Festivo,47,14,658,7,329,7,329
